%	code	xx	param	BG	SL	CS	PL	UK	RU	LV	ET	FI	SV	DA	DE	NL	EN	HU	RO	FR	ES	PT	TR	AZ	KO	JA	ZH	ZT	VI	TH	
	\langname	Reference		Български	Slovenščina	Čeština	Polski	Українська	Русский	Latviešu	Eesti	Suomi	Svenska	Dansk	Deutsch	Nederlands	English	Magyar	Română	Français	Español (castellano)	Português	Türkçe	Azərbaycanca	한국어	日本語	中文（大陆简体）	中文（臺灣正體）	Tiếng Việt	ภาษาไทย	
	\regprobx	Each team member will receive their own copy of the problem, but the team should submit a single solution.		Всеки член на отбора ще получи екземпляр от условието, но отборът следва да предаде само едно, общо решение.	Vsak član ekipe bo dobil svoj izvod naloge, ekipa pa sme oddati samo eno rešitev.	Všichni soutěžící v týmu obdrží své vlastní zadání úlohy, tým však odevzdává jedno společné vypracované řešení.	Każdy członek drużyny dostaje własny egzemplarz treści zadania, ale cała drużyna oddaje jedno rozwiązanie.	Кожен член команди отримує власний примірник умови задачі, але здати команда має один спільний розв'язок.	Каждый член команды получает собственный экземпляр условия задачи, но команда должна сдать одно решение.	Katrs komandas dalībnieks saņems savu uzdevuma kopiju, bet komandai jāiesniedz tikai viens risinājums.	Iga meeskonnaliige saab endale koopia ülesandest, kuid meeskond peab esitama ühe lahenduse.	Jokainen joukkueen jäsen saa tehtävästä oman kopionsa, mutta joukkue palauttaa vain yhden yhteisen ratkaisun.	Varje lagmedlem kommer att få ett eget exemplar av problemtexten, men laget ska endast lämna in en gemensam lösning.	Hvert holdmedlem vil modtage deres egen kopi af opgaven, men holdet bør kun aflevere én enkelt løsning.	Jedes Teammitglied erhält seine eigene Kopie der Aufgabe, aber das Team sollte gemeinsam eine einzige Lösung einreichen.	Elk teamlid krijgt een eigen kopie van deze opgave (in dezelfde taal), maar het team moet samen één oplossing inleveren.	Each team member will receive their own copy of the problem, but the team should submit a single solution.	Minden csapattag megkapja majd a feladat egy-egy példányát, de a csapatnak egy megoldást kell beadnia.	Fiecare membru al echipei va primi câte o copie a problemei, însă echipa trebuie să prezinte o singură soluție.	Chaque membre de l'équipe recevra son propre exemplaire du problème, mais l'équipe devra proposer une solution unique.	Cada miembro del equipo recibirá su propia copia del problema, pero el equipo debe presentar una única solución.	Cada membro da equipe receberá sua própria cópia do problema, mas a equipe deve submeter uma única solução.	Her takım üyesi problemin bir nüshasını alacaktır, fakat takım olarak tek bir çözüm teslim etmelisiniz.	Hər bir komanda üzvü çalışmanın surətini alacaq, lakin siz komanda olaraq yalnız bir həll təqdim etməlisiniz.	문제지는 팀원 각자에게 한 부씩 제공되지만, 답안지는 팀에서 한 부만 제출하여야 합니다.	問題はチームメンバーそれぞれに配られますが、答案はチームで一つだけ提出してください。	每位队员都会收到一份赛题，但是每个团队只需要提交一份答案。	每位隊員都會各得到一份題目，但是全隊應僅繳交一份解答。			
	\regproby	The length of time available, normally 4 hours, will be clearly indicated.		Продължителността на състезанието (обикновено четири часа) ще бъде ясно обявена.	Seznanjeni boste s tem, koliko časa imate na razpolago – navadno 4 ure.	Časový limit, který standardně činí čtyři hodiny, bude předem oznámen.	Czas na rozwiązywanie zadania (zwykle 4 godziny) będzie wyraźnie podany.	Кількість наданого часу — зазвичай це 4 години — буде чітко визначена до змагання.	Время на решение, обычно 4 часа, будет четко обозначено.	Risināšanas laiks tiks skaidri noteikts, parasti 4 stundas.	Võistluse pikkus, tavaliselt neli tundi, antakse selgelt teada.	Joukkueella on tavallisesti neljä tuntia aikaa tehtävän ratkaisemiseen: virallinen kesto ilmoitetaan selkeästi.	Hur länge tävlingen varar, i regel 4 timmar, kommer märkas ut tydligt.	Hvor lang tid, I har til rådighed, normalt 4 timer, vil være klart indikeret.	Die verfügbare Zeitspanne, in der Regel 4 Stunden, wird deutlich angegeben.	De duur van de teamcompetitie, meestal 4 uur, zal duidelijk worden vermeld.	The length of time available, normally 4 hours, will be clearly indicated.	A rendelkezésre álló időt, ami általában 4 óra, egyértelműen jelezni fogjuk.	Timpul de lucru, de obicei de 4 ore, va fi clar indicat.	Le temps disponible, normalement 4 heures, sera clairement indiqué.	El tiempo disponible, normalmente 4 horas, estará claramente indicado.	O tempo disponível, normalmente 4 horas, será claramente indicado.	Yarışmanın süresi 4 (dört) saattir ve yarışma başlamadan önce tam olarak bildirilecektir.	Müsabiqənin müddəti 4 (dörd) saatdır və müsabiqə başlamazdan əvvəl dəqiqliklə elan olunacaqdır.	문제 풀이에 주어지는 시간은 통상적으로 4시간이며, 시작 전에 정확하게 전달될 것입니다.	競技時間は基本４時間ですが指示があります。	比赛时长一般是四小时。大会会明确告知所有参赛者具体的时长。	通常，各團隊將有 4 個小時可以作答，而確切時間限制將會在賽前向所有參賽者明確告知。			
	\regprobz	Your invigilator will record the starting time and finishing time for your team.		Задача на квестора Ви е да запише времето на започване и приключване на работата на Вашия отбор.	Vaš nadzornik bo zabeležil čas začetka in konca reševanja za vašo ekipo.	Váš dozor zaznamená čas, v němž zahájíte a ukončíte řešení úlohy.	Osoba nadzorująca zapisze czas początku i zakończenia pracy Waszej drużyny.	Чергові, які стежитимуть за командою, зафіксують час початку й час закінчення вашої роботи.	Ваш дежурный запишет время начала и окончания работы.	Jūsu uzraudzītājs reģistrēs jūsu komandas sākuma laiku un beigu laiku.	Teie vaatleja paneb kirja, millal teie meeskond alustas ja lõpetas.	Valvojanne kirjaa ylös, milloin joukkueenne aloittaa ja lopettaa tehtävän ratkaisemisen.	Din skrivvakt kommer att notera start- och sluttiden för ditt lag.	Jeres tilsynsførende vil notere jeres holds starttidspunkt og sluttidspunkt.	Eure Aufsichtsperson zeichnet die Startzeit und die Endzeit für das Team auf.	De surveillant zal jullie begin- en eindtijd noteren.	Your invigilator will record the starting time and finishing time for your team.	A csapat felügyelője rögzíti majd a munka megkezdésének és befejezésének időpontját a csapat számára.	Supraveghetorul va nota când începeți și terminați proba.	Votre surveillant enregistrera l'heure de début et l'heure de fin de votre équipe.	El/la supervisor(a) anotará la hora de inicio y la hora de finalización de su equipo.	O/a supervisor(a) registrará a hora de início e de término para sua equipe.	Takımınızın gözetmeni başlama ve bitiş sürenizi kaydedecektir.	Komanda lideriniz başlama və bitmə vaxtlarınızı qeyd edəcək.	감독관이 각 팀의 시작 시각과 종료 시각을 기록할 것입니다.	監督者が開始時刻と終了時刻を記録します。	你们的监考员会记录你们团队的开始时间和结束时间。	監考人員會記錄各參賽團隊的開始與結束時間。			
	\regprobv	Unlike in the individual competition, no food will be provided; you may bring your own.		За разлика от индивидуалното състезание, на отборното състезание не се предоставя храна, така че имате правото да си подготвите собствена.	V nasprotju z individualnim tekmovanjem tu ne bo poskrbljeno za hrano; prinesete lahko svojo.	Na rozdíl od individuální soutěže nedostanete žádné jídlo, smíte si ale přinést vlastní.	W odróżnieniu od konkursu indywidualnego jedzenie nie jest zapewnione; można przynieść własne.	На відміну від індивідуального змагання їжа видаватися не буде, тому ви можете принести власні харчі.	В отличие от индивидуального соревнования, еду вам выдавать не будут, но вы можете принести свою.	Atšķirībā no individuālajām sacensībām, ēdiens netiks nodrošināts; jūs varat ņemt līdzi savu.	Erinevalt individuaalvõistlusest ei ole toitlustus tagatud. Te võite kaasa võtta oma toidu.	Toisin kuin henkilökohtaisessa kilpailussa, joukkuekisassa ei tarjota ruokaa, mutta voitte tuoda mukananne omat eväät.	Till skillnad från den individuella tävlingen kommer ingen mat att delas ut; du får ta med egen mat och dryck.	I modsætning til den individuelle konkurrence, vil I ikke blive givet mad; I bør medbringe jeres eget.	Im Gegensatz zum Einzelwettbewerb wird kein Essen bereitgestellt; eigenes Essen kann mitgebracht werden.	Jullie krijgen geen lunch, in tegenstelling tot de individuele competitie. Je mag wel zelf eten meenemen.	Unlike in the individual competition, no food will be provided; you may bring your own.	Az egyéni versennyel ellentétben ételt nem biztosítunk a résztvevőknek. Mindenki hozhat magával saját ételt.	Spre deosebire de competiția individuală, nu vi se va oferi mâncare, dar puteți să vă aduceți voi.	Contrairement à l'épreuve individuelle, aucune nourriture ne sera fournie; vous pouvez apporter la vôtre.	A diferencia de la competencia individual, no se proporcionará comida; se permite que ustedes traigan su propia comida.	Diferente da prova individual, aqui nenhum alimento será fornecido; vocês podem trazer os seus próprios.	Bireysel yarışmada olduğu gibi yemek sağlanacaktır, kendi yemeğinizi getirebilirsiniz.	Fərdi müsabiqədə olduğu kimi yemək veriləcək, öz yeməyinizi də gətirə bilərsiniz.	개인전과 달리 음식물은 제공되지 않으므로, 여러분이 각자 가져와야 합니다.	個人戦とは異なり、食べ物は支給されません。自分のものを持ち込むことはできます。	与个人赛不同，主办方不会在团队赛中提供食物，但是你们依然可以自备食物。	與個人賽不同的是，團體賽期間主辦單位不會提供食物；您可以帶您自己的食物。			
	\regcoll	Collaboration		Съвместна работа	Sodelovanje	Spolupráce	Współpraca	Спільна робота	Совместная работа	Sadarbība	Koostöö	Yhteistyö	Samarbete	Samarbejde	Zusammenarbeit	Samenwerking	Collaboration	Együttműködés	Colaborarea	Collaboration	Colaboración	Colaboração	İş birliği	Tərəfdaşlıq	협동	協力	合作	合作			
	\regcollw	You are free to talk together while solving the team problem.		Свободни сте да обсъждате заедно задачата по време на отборното състезание.	Med reševanjem naloge sodelujete med seboj.	Během řešení úlohy spolu můžete komunikovat.	Podczas rozwiązywania zadania drużynowego wolno Wam rozmawiać.	Ви можете вільно обговорювати між собою задачу під час командного змагання.	Вы можете свободно разговаривать друг с другом в ходе решения командной задачи.	Risinot komandu sacensību uzdevumu, jūs varat brīvi sarunāties savā starpā.	Te võite meeskonnaülesannet lahendades omavahel vabalt rääkida.	Voitte keskustella vapaasti ratkaistessanne joukkuetehtävää.	Du får samtala med dina lagkamrater under lösningen av lagproblemet.	I må gerne tale samme når I løser holdopgaven.	Es steht euch frei, bei der Lösung der Teamaufgabe miteinander zu sprechen.	Jullie mogen samen overleggen tijdens de teamcompetitie.	You are free to talk together while solving the team problem.	Nyugodtan beszélhetnek egymással a csapattagok a feladat megoldása közben.	Sunteți liberi să vorbiți unii cu alții în timp ce rezolvați problema pe echipe.	Vous êtes libres de parler ensemble tout en résolvant le problème de l'équipe.	Ustedes pueden conversar libremente mientras resuelven el problema de la competencia por equipos.	Vocês podem conversar livremente enquanto resolvem o problema de equipe.	Takım yarışması sorusunu çözerken birlikte konuşabilirsiniz.	Komanda yarışında sualı həll edərkən birlikdə danışa bilərsiniz.	문제를 푸는 동안 팀원들과 함께 상의하는 것은 자유입니다.	団体戦の問題を解くときは自由に会話することができます。	在团队赛期间，队员之间可以自由交談。	在團體賽期間，同個團隊的各隊員在作答時得以自由交談。			
	\regcollx	However, the same restrictions on material and devices as in the individual contest also apply to the team competition.		Но ограниченията от индивидуалното състезание за печатни материали и електронни устройства важат и за отборното състезание.	Za ekipno tekmovanje veljajo ista pravila glede pripomočkov in naprav kot za individualno.	Platí však stejná omezení týkající se materiálů a zařízení jako v individuální soutěži.	Co do materiałów i urządzeń, podczas konkursu drużynowego obowiązują te same zasady co na zawodach indywidualnych.	Проте під час командного змагання діють ті ж обмеження на використання пристроїв та друкованих матеріалів, що й під час індивідуального.	Однако на командном соревновании действуют те же ограничения на печатные материалы и устройства, что и на индивидуальном.	Tomēr uz komandu sacensībām attiecas tie paši ierobežojumi attiecībā uz materiāliem un ierīcēm, kā individuālajās sacensībās.	Siiski kehtivad meeskonnavõistlusel samasugused piirangud materjalide ja seadmete kohta nagu ka individuaalvõistlusel.	Omien materiaalien ja sähkölaitteiden käyttö on kielletty samoin kuin henkilökohtaisessa kilpailussa.	Däremot gäller samma regler om tillåtna material och enheter som i den individuella tävlingen.	Men vær opmærksom på, at restriktionerne på materiale og apparater i den individuelle konkurrence også er gældende i holdkonkurrencen.	Für den Gruppenwettbewerb gelten jedoch die gleichen Einschränkungen bei Material und Geräten wie im Einzelwettbewerb.	Tijdens de teamcompetitie gelden dezelfde restricties op het gebruik van bepaalde materialen en apparaten als tijdens de individuele competitie.	However, the same restrictions on material and devices as in the individual contest also apply to the team competition.	Az anyagokra és az eszközökre ugyanazok a korlátozások érvényesek, mint az egyéni verseny esetében.	Cu toate acestea, aveți aceleași restricții în ceea ce privește materialele și dispozitivele electronice ca și în cazul competiției individuale.	Toutefois, les restrictions concernant le matériel et les appareils sont les mêmes que pour l'épreuve individuelle.	Sin embargo, las mismas restricciones de material y dispositivos de la competencia individual también se aplican a la competencia por equipos.	No entanto, também se aplicam à prova de equipe as mesmas restrições de materiais e dispositivos da prova individual.	Bireysel yarışmadaki malzeme ve elektronik aygıtlarla ilgili kısıtlamalar takım yarışmasında da geçerlidir.	Fərdi müsabiqədə materiallar və elektron cihazlarla bağlı məhdudiyyətlər komanda yarışına da şamil edilir.	단, 인쇄물이나 전자기기 등에 관한 제한 규정은 개인전에서와 동일하게 적용됩니다.	ただし団体戦でも資料や機器の制限は個人戦と同様です。	个人赛对携带物品和设备的限制同样适用于团队赛。	個人賽規則中關於物品與裝置的限制同樣適用於團體賽。			
	\regcolly	Your team will be allocated its own room for the team competition, but you should be aware that teams in nearby rooms may be able to hear your discussion and/or could be disturbed if you are too noisy, especially if windows are open.		Отборът Ви ще има определена стая за отборното състезание, но имайте предвид, че е възможно отборите от близките стаи да чуват разговорите Ви и/или да си пречите, особено ако прозорците са отворени.	Vaši ekipi bo za ekipno tekmovanje določena posebna soba, imejte pa v mislih, da lahko ekipe v sosednjih prostorih poslušajo vaš pogovor, ali pa je zanje lahko moteče, če boste preglasni, še posebej pri odprtih oknih.	Váš tým dostane pro týmovou soutěž přidělenu vlastní místnost. Měli byste počítat s tím, že týmy v sousedních místnostech můžou vaši diskuzi slyšet a mohlo by je to rušit, pokud budete příliš hlasití, obzvlášť při otevřených oknech.	Każda drużyna pracuje w osobnym pomieszczeniu, ale powinniście być świadomi, że drużyny w sąsiednich pomieszczeniach mogą słyszeć Waszą dyskusję i/lub może im przeszkadzać gdy jesteście zbyt głośno, szczególnie jeśli okna są otwarte.	Ваша команда матиме окрему кімнату для роботи, але вам варто усвідомлювати, що команди в сусідніх кімнатах зможуть чути ваше обговорення, а/чи ваш галас їм заважатиме, особливо якщо вікна прочинені.	Ваша команда будет находиться в отдельной комнате, но стоит понимать, что команды в соседних комнатах могут услышать вашу дискуссию, и/или вы можете помешать им слишком громким шумом, особенно если окна открыты.	Jūsu komandai tiks piešķirta sava telpa komandas sacensībām, taču jums ir jāapzinās, ka komandas tuvumā esošajās telpās varētu dzirdēt jūsu diskusiju un/vai tikt traucētas, ja esat pārāk skaļi, it īpaši, ja logi ir atvērti.	Teie meeskond paigutatakse meeskonnavõistluse tarbeks eraldi ruumi, kuid te peaksite arvestama, et teised meeskonnad kõrvalruumides võivad kuulda teie arutelu ja/või te võite neid segada, kui olete liiga lärmakad, eriti kui aknad on avatud.	Huomatkaa, että vaikka teidät sijoitetaan joukkueen omaan erilliseen tilaan, lähellä olevissa huoneissa olevat joukkueet voivat häiriintyä tai saada vihjeitä liian kovaäänisestä keskustelusta, etenkin jos ikkunat ovat auki.	Ditt lag kommer sitta i ett enskilt rum under lagtävlingen, men ha i åtanke att andra lag i närbelägna rum eventuellt kan höra era diskussioner och/eller störas om ni är för högljudda, särskilt om fönster är öppna.	Jeres hold vil blive tildelt jeres eget lokale til holdkonkurrencen, men I bør være opmærksomme på, at hold i omkringliggende rum kan være i stand til at høre jeres diskussion og/eller kan blive forstyrret, hvis I er for larmende, specielt hvis der er åbne vinduer.	Eurem Team wird ein eigener Raum für den Gruppenwettbewerb zugewiesen, aber es sollte klar sein, dass Teams in nahegelegenen Räumen eure Diskussion hören können und/oder gestört werden könnten, wenn ihr zu laut seid, insbesondere wenn Fenster geöffnet sind.	Ieder team krijgt zijn eigen ruimte tijdens de teamcompetitie. Let erop dat andere teams in de ruimtes ernaast waarschijnlijk jullie discussie ook kunnen horen en/of verstoord kunnen raken als jullie te veel geluid maken, vooral als de ramen open staan.	Your team will be allocated its own room for the team competition, but you should be aware that teams in nearby rooms may be able to hear your discussion and/or could be disturbed if you are too noisy, especially if windows are open.	Minden csapat számára külön terem lesz kijelölve, azonban szem előtt kell tartaniuk, hogy a szomszédos termekben dolgozó csapatok esetleg hallhatják az Önök megoldását és/vagy Önök zavarhatják őket, ha túl hangosak, különösen akkor, ha nyitva vannak az ablakok.	Echipei voastre îi va fi alocată o sală individuală pentru competiția pe echipe, dar trebuie să țineți cont de faptul că echipele din sălile apropiate ar putea să vă audă discuțiile și/sau să fie deranjate dacă faceți prea mult zgomot (mai ales dacă ferestrele sunt deschise).	Votre équipe se verra attribuer sa propre salle, mais vous devez savoir que les équipes situées dans les salles voisines peuvent entendre votre discussion et/ou pourraient être dérangées si vous êtes trop bruyants, surtout si les fenêtres sont ouvertes.	Se le asignará a su equipo su propio salón para la competencia por equipos, pero usteden deben tener en cuenta que los equipos en los salones cercanos pueden escuchar su discusión y/o ser molestados si hacen demasiado ruido, especialmente si las ventanas están abiertas.	Sua equipe terá sua própria sala para a prova, mas vocês devem estar cientes de que as equipes em salas próximas podem ouvir sua discussão e/ou ser atrapalhadas se vocês fizerem muito barulho, especialmente caso as janelas estejam abertas.	Takımınız için yarışma süresince ayrı büro da ayrılacaktır, özellikle pencereler açıksa yan odalardaki takımların tartışmanızı duyabileceğini ve / veya çok gürültülü olmanız durumunda rahatsız olabileceğini bilmelisiniz.	Yarış zamanı komandanız üçün ayrıca otaqla da təmin ediləcəksiniz, nəzərə alın ki, qonşu otaqlardakı komandalar, xüsusən də pəncərələr açıqdırsa, müzakirələrinizi eşidə və yaxud çox yüksək səslə danışdığınız halda narahat ola bilərlər.	각 팀은 개별적인 단체전 장소를 제공받을 것이나, 특히 창문이 열려 있는 경우 가까운 방에서 대회를 치르는 다른 팀들이 여러분이 논의하는 소리를 들을 수 있으며, 여러분이 너무 시끄러우면 방해를 받을 수 있음에 유의하시기 바랍니다.	各チームに団体戦用の部屋が割り当てられます。うるさくしすぎると、特に窓を開けたままだと、近くの部屋のチームに議論が聞こえたり、迷惑となったりするので気をつけてください。	在团队赛期间，每个团队会被分配到各自专用的房间，但是你们应当注意附近房间的团队可能可以听到你们的讨论，并且如果你们过于吵闹，其他团队可能会收到影响，尤其是在打开窗户的情况下。	團體賽時，您所屬的參賽團隊將被分配到一間房間。不過，您需知道在附近房間的其他參賽團隊可能可以聽到您們的討論。如果您音量過大的話（尤其是在窗戶打開的情況下），將很有可能予以干擾。			
	\regleav	Leaving the room during the competition		Напускане на стаята по време на състезанието	Zapuščanje prostora med tekmovanjem	Opouštění soutěžní místnosti	Wychodzenie z pomieszczenia podczas konkursu drużynowego	Вихід з кімнати під час змагання	Выход из комнаты во время соревнования	Telpu atstāšana sacensību laikā	Ruumist lahkumine võistluse ajal	Huoneesta poistuminen kilpailun aikana	Att lämna rummet under tävlingen	At forlade rummet under konkurrencen	Verlassen des Raumes während des Wettbewerbs	De ruimte verlaten tijdens de competitie	Leaving the room during the competition	A terem elhagyása a verseny alatt	Ieșirea din sală în timpul examenului	Sortie de la salle pendant l'épreuve	Salir del salón durante la competencia	Sair da sala durante a prova	Yarışma esnasında odadan ayrılmak	Müsabiqə zamanı otağı tərk etmək	대회 중 자리 비우기	競技中の退室	在比赛期间离场	在競賽中離開房間			
	\regleavw	Should you need to leave the room temporarily, ask your invigilator.		Ако имате нужда да напуснете временно стаята, попитайте квестора.	Če moraš med tekmovanjem začasno zapustiti prostor, se obrni na nadzornika.	Budete-li potřebovat dočasně odejít ze soutěžní místnosti, zeptejte se dozoru.	Jeśli potrzebujesz wyjść na chwilę z pomieszczenia, poproś osobę nadzorującą.	Якщо вам треба ненадовго вийти з кімнати, повідомте про це чергових.	Если вам нужно ненадолго выйти из комнаты, попросите своего дежурного.	Ja Jums ir nepieciešams uz laiku atstāt telpu, jautājiet savam uzraudzītājam.	Kui teil on vaja ruumist ajutiselt lahkuda, teavitage oma vaatlejalt.	Jos sinun täytyy poistua väliaikaisesti huoneesta, käänny valvojasi puoleen.	Om du skulle behöva lämna rummet tillfälligt under skrivtiden, säg till din skrivvakt.	Hvis I får brug for at forlade rummet midlertidigt, skal I spørge jeres tilsynsførende.	Sollt ihr den Raum vorübergehend verlassen müssen, frage deine Aufsichtsperson.	Informeer de surveillant wanneer je de ruimte tijdelijk moet verlaten tijdens de competitie.	Should you need to leave the room temporarily, ask your invigilator.	Ha ideiglenesen el kell hagynia a termet, kérje a felügyelő segítségét.	Dacă trebuie să părăsiți temporar sala, cereți permisiunea supraveghetorului.	Si vous devez quitter temporairement la salle, demandez à votre surveillant.	Si necesitas salir del salón temporalmente, comunícaselo al supervisor o a la supervisora.	Se você precisar sair temporariamente da sala, avise ao seu supervisor ou à sua supervisora.	Yarışma esnasında odadan ayrılmanızı gerektirecek bir durum olursa, gözetmeninize sorunuz.	Müsabiqə zamanı otağı tərk etməyinizi şərtləndirəcək bir vəziyyət yaranarsa, nəzarətçinizlə məsləhətləşin.	잠시 대회장을 나갔다 와야 하는 경우, 감독관에게 요청하십시오.	一時的に退室が必要な場合、監督者に知らせてください。	在比赛期间，如果你需要暂时离场，请告知监考员。	若您在競賽期間需要暫時離開房間，請告知監考人員。			
	\regleavx	You may have to wait while a helper is found to accompany you or replace the invigilator.		Възможно е да се наложи да изчакате малко, докато дойде някой, който да Ви придружи или да смени квестора.	Morda bo treba nekaj časa počakati na pomočnika, ki te bo spremljal ali nadomestil nadzornika.	Je možné, že budete nějakou dobu čekat, než přijde pomocník, který vás doprovodí nebo nahradí dozor.	Być może będziesz musiała/musiał poczekać, aż zostanie znaleziony pomocnik, który będzie Ci towarzyszyć lub zastąpi osobę nadzorującą.	Можливо, вам доведеться зачекати на когось з організаторів, хто супроводить вас.	Возможно, вам придется немного подождать помощника, который сопроводит вас или заменит вашего дежурного.	Jums var būt jāpagaida, kamēr tiek atrasts palīgs, lai Jūs pavadītu vai arī nomainītu uzraudzītāju.	Te peate võib-olla ootama, kuni leitakse abiline, kes teid saadaks, või asendaks seni vaatlejat.	On mahdollista, että joudut odottamaan hetken, kunnes varavalvoja ehtii paikalle korvaamaan varsinaisen valvojan poistumisesi ajaksi.	Du kan behöva vänta en stund medan en assistent kommer för att följa med dig eller ersätta skrivvakten.	I kan blive nødt til at vente, mens en hjælper bliver fundet til at ledsage dig eller erstatte jeres tilsynsførende.	Möglicherweise müsst ihr warten, bis eine Hilfsperson gefunden wird, die euch begleitet oder die Aufsichtsperson ersetzt.	Er is een kans dat je moet wachten tot een helper beschikbaar is om je te vergezellen of de surveillant te vervangen.	You may have to wait while a helper is found to accompany you or replace the invigilator.	Elképzelhető, hogy várnia kell majd egy segítő megjelenéséig, aki elkíséri Önt vagy helyettesíti a felügyelőt.	E posibil să fie nevoie să așteptați până când un voluntar va fi găsit pentru a vă însoți sau pentru a înlocui supraveghetorul.	Vous devrez peut-être attendre qu'un auxiliaire soit disponible pour vous accompagner ou remplacer le surveillant.	Es posible que debas esperar hasta que se desocupe un(a) ayudante disponible que te acompañe o que reemplace al/a la supervisor(a).	Possivelmente você precisará aguardar um(a) ajudante ficar disponível para acompanhá-lo/a ou para substituir o/a supervisor(a).	Size eşlik edecek biri gelene kadar beklemeniz gerekebilir.	Sizi müşayiət etmək üçün kimsə gələnə qədər gözləməli ola bilərsiniz.	여러분과 동행하거나 감독을 대신할 도우미가 구해질 때까지 잠시 기다려야 할 수 있습니다.	その際、選手に同行する、または監督者の代わりをする補助員がくるまで待つ必要があります。	你可能需要耐心等待一段时间，直到有能陪同你离开或者替换监考员的协助者抵达考场。	在陪同您離開或替換監考人員的協助者抵達之前，您可能需要耐心等候。			
	\regfini	Finishing up		Приключване	Zaključek	Odevzdání řešení	Zakończenie pracy	Завершення роботи	Окончание работы	Darba pabeigšana	Lõpetamine	Tehtävän palautus	Tävlingens slut	Færdiggørelse	Fertigstellung	Afsluiting	Finishing up	A verseny befejezése	Când terminați	Fin de l'épreuve	Al final	Ao final	Bitirme	Bitirmə	퇴실	競技終了	结束	團體賽結束			
	\regfiniw	Place your answer sheets in the envelope.		Поставете Вашето решение в плика.	Liste z odgovori vložite v ovojnico.	Listy s řešením vložte do připravené obálky.	Umieśćcie kartki z rozwiązaniem w kopercie.	Покладіть свій розв'язок у конверт.	Положите листы с решением в конверт.	Ievietojiet atbildes lapas aploksnē.	Asetage oma vastuslehed ümbrikku.	Palauttakaa vastauspaperinne saamassanne kirjekuoressa.	Lägg dina svarsblad i kuvertet.	Placer jeres svarark i kuverten.	Legt die Antwortbögen in den Umschlag.	Stop de uitwerkingen in de bijgevoegde envelop.	Place your answer sheets in the envelope.	Helyezzék a megoldást tartalmazó lapjaikat a borítékba.	Puneți foile de răspunsuri în plicul furnizat.	Placez vos feuilles de réponses dans l'enveloppe.	El equipo debe colocar sus hojas de respuestas en el sobre.	Coloquem suas folhas de respostas no envelope.	Cevap kağıtlarınızı zarfa koyunuz.	Cavab vərəqlərinizi zərfin içinə qoyun.	답안지를 서류봉투 안에 넣으십시오.	封筒に答案用紙を入れてください。	请将你们的答题纸放进信封里。	請將您們的答卷放入主辦單位提供的信封中。			
	\regfinix	Your invigilator will seal it and deliver it to the Jury as arranged.		Квесторът ше го запечата и ще го предаде на Журито по надлежния ред.	Vaš nadzornik jih bo zapečatil in dostavil komisiji.	Váš dozor obálku zalepí a předá ji porotě.	Osoba nadzorująca zamknie ją i dostarczy jury zgodnie z ustaleniami.	Чергові заклеять його та передадуть журі.	Ваш дежурный запечатает его и доставит членам жюри.	Jūsu uzraudzītājs to aizzīmogos un nogādās žūrijai, kā tas paredzēts.	Teie vaatleja kleebib selle kinni ja viib žüriile nagu kokku lepitud.	Valvojanne sinetöi sen ja toimittaa sen tuomaristolle.	Din skrivvakt kommer försegla det och se till att det kommer till juryn som arrangerat.	Jeres tilsynsførende vil lukke den og aflevere den til juryen, som det er aftalt.	Die Aufsichtsperson wird ihn versiegeln und der Jury wie vereinbart übergeben.	Jullie surveillant zal de envelop sluiten en naar de jury brengen.	Your invigilator will seal it and deliver it to the Jury as arranged.	Felügyelőjük majd lezárja és eljuttatja a zsűrihez annak rendje-módja szerint.	Supraveghetorul îl va sigila și îl va preda juriului conform instrucțiunilor.	Votre surveillant la scellera et la remettra au jury comme convenu.	El/la supervisor(a) lo sellará y lo entregará al jurado según lo acordado.	Seu/sua supervisor(a) o selará e o entregará ao júri, conforme combinado.	Gözetmeniniz zarfı kapatacak ve jüriye teslim edecektir.	Nəzarətçiniz zərfi bağlayaraq münsiflər heyətinə təhvil verəcək.	감독관이 봉투를 밀봉하고 심사위원에게 전달할 것입니다.	監督者がそれに封をして、採点団のところに持っていくことになっています。	你们的监考员会按照要求把信封封好并提交给评委。	監考人員將彌封之並交付至指定的評審委員。			
